MICROCHIP #,Pet,DOG/CAT,BREED,Lenghth (in),Width(in),Height(in),Airline ,3L code,AWB,Weight (kg),Weight (lbs),FROM,VIA,TO,,,,,,,,,,,
981-020-051-824-654,Lucy,DOG,Dandie Dinmont Terrier,32,22,23,British Airways (BA),125,125-56528894,8,17,MCO,,LGW,,,,,,,,,,,
991-001-001-978-061,Amy,DOG,Dachshund,32,22,24,Volaris Carga,036,036-61664131,8,18,IAH,MEX,PVR,,,,,,,,,,,
991-001-001-978-062,Scooter,DOG,Dachshund,32,22,24,Volaris Carga,036,036-61664131,10,21,IAH,MEX,PVR,,,,,,,,,,,
938-000-000-754-854,Vita,DOG,Poodle,32,22,23,KLM, 074, 074-50156536,6,13,ATL,AMS ,BCN,,,,,,,,,,,
991-001-911-224-571,Luna,DOG,American Bully,36,25,27,British Airways (BA),125,125-57159782,18,39,JFK,LHR,ATH,,,,,,,,,,,
985-141-006-121-104,Sara,DOG,American Bully,40,27,30,British Airways (BA),125,125-57159782,24,54,JFK,LHR,ATH,,,,,,,,,,,
991-001-911-224-568,Milo,DOG,American Bully,36,25,27,British Airways (BA),125,125-57159782,23,50,JFK,LHR,ATH,,,,,,,,,,,
900-182-002-268-059,Lily,CAT,Domestic Shorthair,28,21,21,KLM-Air France,057,057-87666504,5,11,ATL,CDG,JNB,,,,,,,,,,,
900-182-002-268-059,Liefie,CAT,Domestic Shorthair,28,21,21,KLM-Air France,057,057-87666504,4,9,ATL,CDG,JNB,,,,,,,,,,,
985-113-007-867-043,Aubrey,DOG,Great Pyrenees,48,32,35,KLM,074,074-47925732,38,83,LAX,AMS,MNL,,,,,,,,,,,
985-113-002-822-512,Austin,DOG,Siberian Husky,48,32,35,KLM,074,074-47925732,36,80,LAX,AMS,MNL,,,,,,,,,,,
991-001-005-654-218,Buster,DOG,Shih Tzu,36,25,27,KLM,074,074-49099783,8,17,ATL,AMS,BLR,,,,,,,,,,,
981-020-039-809-067,Kevin,DOG,Golden Retriever,48,32,35,Volaris Carga,036,036-61662241,23,50,ORD,MEX,PVR,,,,,,,,,,,
956-000-017-201-622,Seamus,DOG,Golden Retriever,48,32,35,Lufthansa Cargo (LH),020,020-2082522,63,139,ORD,FRA,DUB,,,,,,,,,,,
956-000-017-313-165,Sett,CAT,Domestic Mediumhair,28,21,21,Lufthansa Cargo (LH),020,020-2082522,5,11,ORD,FRA,DUB,,,,,,,,,,,
956-000-017-281-126,Buka,DOG,Boxer,48,32,35,Lufthansa Cargo (LH),020,020-2082522,31,69,ORD,FRA,DUB,,,,,,,,,,,
933-000-320-224-244,Binayaka,DOG,Italian Mastiff,48,32,35,Volaris Carga,621,621-2425006,59,129,LAX,,SJU,,,,,,,,,,,
982-091-073-331-841,Maki Garcia,DOG,Siberian Husky,48,32,35,British Airways (BA),125,125-56527763,29,64,ATL,,LHR,,,,,,,,,,,
985-112-012-372-182,Azraq,DOG,Poodle Mix,36,25,27,British Airways (BA),125,125-80038781,11,25,ARL,,LHR,,,,,,,,,,,
981-020-029-563-342,Lily,CAT,Domestic Mediumhair,28,21,21,Lufthansa Cargo (LH),020,020-979381,8,18,SEA,,DXB,,,,,,,,,,,
977-200-009-873-453,Loki,DOG,Australian Shepherd Mix,48,32,35,KLM,074,074-49100730,17,38,ATL,AMS,RUH,,,,,,,,,,,
977-200-008-722-338,Honey,DOG,Cavapoo,28,21,21,British Airways (BA),125,125-56527796,5,11,IAD,,LHR,,,,,,,,,,,
956-000-012-960-472,Maya,DOG,Yorkshire Terrier,36,25,27,British Airways (BA),125,125-56527796,9,19,IAD,,LHR,,,,,,,,,,,
982-091-074-314-870,Louis,DOG,Tonkinese,28,21,21,British Airways (BA),125,125-56116115,4,9,JFK,,LHR,,,,,,,,,,,
900-115-002-049-323,Rose,DOG,Maltese,28,21,21,KLM,074,074-46239491,5,11,ATL,AMS,DXB,,,,,,,,,,,
985-113-003-623-975,Holly,DOG,Labrador Retriever,40,27,30,KLM,074,074-47002955,33,72,LAX,AMS,MAD,,,,,,,,,,,
985-112-010-982-736,Luna,DOG, Shih Tzu,28,21,21,KLM,074,074-50584730,8,17,MIA,AMS,MNL,,,,,,,,,,,
985-141-005-587-546,Bruno,DOG,Jack Russel  Terrir/Rat Terrier,32,22,23,KLM,074,074-48970740,6,13,JFK,,LHR,,,,,,,,,,,
985-141-006-008-410,Lala,DOG,Shih Tzu,32,22,23,KLM,074,074-48970740,6,13,,,,,,,,,,,,,,
985-112-008-742-875,Maggie,DOG,Labrador Retriever,52,31,39,British Airways (BA),125,125-56115441,47,104,JFK,,LHR,,,,,,,,,,,
985-141-005-231-622,Peaches,DOG,Siberian Husky,48,32,35,British Airways (BA),125,125-56115441,20,43,JFK,,LHR,,,,,,,,,,,
985-141-005-934-620,Willow,DOG,Rogdoll,28,21,21,British Airways (BA),125,125-56115485,4,8,BOS,,LHR,,,,,,,,,,,
941-000-018-907-413,Belle,DOG,Golden Doodle,48,32,35,KLM-Air France,057,057-47863966,30,66,IAD,CDG,VIE,,,,,,,,,,,
981-020-047-035-799,Jolie,DOG,Golden Doodle,48,32,35,KLM-Air France,057,057-47863966,29,63,IAD,CDG,VIE,,,,,,,,,,,
981-020-051-413-539,Millie,DOG,Jack Russel Terrier,28,21,21,British Airways (BA),125,125-56116045,6,13,JFK,,LHR,,,,,,,,,,,
985-113-007-745-525,Alpha,DOG,German Shepherd,48,32,35,Emirates,176,176-8041 5193,20,44,IAD,,DXB,,,,,,,,,,,
900-182-001-470-205,Cloudie,CAT,Domestic Shorthair,28,21,21,Emirates,176,176-8041 5193,4,9,IAD,,DXB,,,,,,,,,,,
985-113-007-745-650,King,DOG,Golden Retriever,48,32,35,Emirates,176,176-8041 5193,12,27,IAD,,DXB,,,,,,,,,,,
784-000-200-101-120,Muezza,CAT,Domestic Shorthair,28,21,21,Emirates,176,176-8041 5193,4,10,IAD,,DXB,,,,,,,,,,,
985-112-004-117-913,Storm,CAT,Domestic Shorthair,28,21,21,British Airways (BA),125,125-56115474,4,9,DEN,,LHR,,,,,,,,,,,
985-111-002-020-829,Ako,DOG,Siberian Husky,61,27,37,British Airways (BA),125,125-56114155,34,75,IAD,,LHR,,,,,,,,,,,
981-020-031-930-223,Cleo,CAT,Domestic Mediumhair,28,21,21,British Airways (BA),125,125-55615486,4,9,DEN,,LHR,,,,,,,,,,,
981-020-019-752-023,Roo,CAT,Domestic Shorthair,28,21,21,British Airways (BA),125,125-55615486,5,11,DEN,,LHR,,,,,,,,,,,
985-121-008-520-884,Frankie,CAT,Domestic Longhair,28,21,21,American Airlines Cargo,001,001-81551083,8,17,OK,MIA,GIG,,,,,,,,,,,
981-020-051-449-195,Chewy,CAT,Domestic Shorthair,28,21,21,American Airlines Cargo,001,001-81551083,8,17,OK,MIA,GIG,,,,,,,,,,,
985-112-006-856-345,Alice,DOG,Mixed,32,22,23,Malaysia Airlines,370,370-00016343,8,17,LAX,MEX,SAL,,,,,,,,,,,
982-000-356-205-476,Hamish Clark,CAT,Domestic Shorthair,28,21,21,British Airways (BA),125,125-56113035,6,13,IAD,,LHR,,,,,,,,,,,
981-020-005-674-789,Cat Clark,CAT,Domestic Shorthair,28,21,21,British Airways (BA),125,125-56113035,4,8,IAD,,LHR,,,,,,,,,,,
982-126-053-260-245,Lucky,DOG,Miniature Pinscher,28,21,21,Volaris Carga,036,036-6164 4914,9,19,IAH,MEX,SJO,,,,,,,,,,,
981-020-027-045-278,Fendo,CAT,Domestic Shorthair,28,21,21,British Airways (BA),125,125-55615851,3,7,SFO,FRA,LHR,,,,,,,,,,,
985-112-012-341-941,Lou,DOG,"Munsterlander, Small",48,32,35,Lufthansa Cargo (LH),020,020-30699281,18,40,DEN,FRA,CPH,,,,,,,,,,,
729-418-836-45B-ODI,Bodi,DOG,Blue Heelers,36,25,27,Avianca Cargo,729,729-41883645,19,41,MIA,,SJO,,,,,,,,,,,
729-418-836-45S-CRA,Scrappy,DOG,Blue Helers,28,21,21,Avianca Cargo,729,729-41883645,4,8,MIA,,SJO,,,,,,,,,,,
982-000-407-235-397,Kenzie,DOG,Lab Mix,52,31,33,KLM,074,074-45254495,19,42,ATL,AMS,BCN,,,,,,,,,,,
985-112-011-843-929,Iris,DOG,Collie Rough Coated,48,32,35,KLM,074,074-51103850,25,56,ORD,AMS,LIS,,,,,,,,,,,
981-020-039-534-429,Dayzee,CAT,Domestic Shorthair,24,16,15,Emirates,176,176-80458081,6,12,JFK,,DXB,,,,,,,,,,,
981-020-039-524-819,Katty,CAT,Domestic Shorthair,24,16,15,Emirates,176,176-80458081,6,13,JFK,,DXB,,,,,,,,,,,
985-112-012-312-271,Bacon,CAT,Siamese,28,21,21,Lufthansa Cargo (LH),020,020-30699266,6,12,IAH,DXB,PVG,,,,,,,,,,,
985-112-012-313-161,Ham,CAT,Siamese,28,21,21,Lufthansa Cargo (LH),020,020-30699266,3,7,IAH,DXB,PVG,,,,,,,,,,,
992-000-001-435-360,Elmo,DOG,Labrador Retriever,48,32,35,British Airways (BA),125,125-55615232,31,69,ATL,,LHR,,,,,,,,,,,
982-091-066-607-907,OP,DOG,Australian Cattle,36,25,27,Volaris Carga,036,036-61641856,19,42,IAH,MEX,SJO,,,,,,,,,,,
941-000-017-360-011,Tiny,DOG,Cruce x Chihuahua,28,21,21,KLM,074,074-46131455,6,14,MIA,AMS,BAH,,,,,,,,,,,
985-112-010-265-067,Mocha,DOG,Mixed Breed,48,32,35,Avianca Cargo,729,729-41885966,27,59,MIA,,VCP,,,,,,,,,,,
981-020-041-720-548,Frankie Garcia,DOG,Terrier x Chihuahua,28,21,21,KLM-Air France,057,057-47213353,5,10,SFO,FRA,LIS,,,,,,,,,,,
985-113-002-881-743,Sunny,DOG,Golden Doodle,48,32,35,KLM-Air France,057,057-47213353,34,74,SFO,FRA,LIS,,,,,,,,,,,
981-020-031-240-174,Ellie,DOG,Labradoodle,36,25,27,Lufthansa Cargo (LH),020,020-30699244,10,22,LAX,FRA,BCN,,,,,,,,,,,
956-000-014-234-319,Brixlie,DOG,Great Dane,54,34,43,Lufthansa Cargo (LH),020,020-30699244,56,123,LAX,FRA,BCN,,,,,,,,,,,
933-000-320-739-773,Munchkin,DOG,Havapoo,24,16,15,British Airways (BA),125,125-55617181    ,4,8,#N/A,,,,,,,,,,,,,
982-000-406-301-830,Beufort,DOG,Schnauzer Mix,35,25,27,Volaris Carga,036,036-61641075,9,19,IAH,MEX,SJO,,,,,,,,,,,
982-000-364-131-294,Bismarck,DOG,Poodle Mix,35,25,27,Volaris Carga,036,036-61641075,9,19,IAH,MEX,SJO,,,,,,,,,,,
945-000-006-050-425,Mylo,DOG,German Shepherd,56,35,43,Emirates,176,176-98178404,34,75,IAH,DXB,DEL,,,,,,,,,,,
981-020-013-706-070,Sky,DOG,Boxer Mix,40,27,30,KLM,074,074-45939806,24,52,ORD,AMS,MAN,,,,,,,,,,,
985-112-005-562-969,Freddy Bell,DOG,Water Dog Portuguese,40,27,30,British Airways (BA),125,125-54959435,31,67,BOS,,LHR,,,,,,,,,,,
985-112-002-898-781,Izzy Bell,DOG,Water Dog Portuguese,36,25,27,British Airways (BA),125,125-54959435,19,43,BOS,,LHR,,,,,,,,,,,
990-000-007-903-446,Nala,DOG,Havanese,28,21,21,KLM,074,074-61218721,5,10,ARL,AMS ,MNL,,,,,,,,,,,
985-112-006-822-363,Haru,DOG,Golden Retriever,48,32,35,Lufthansa Cargo (LH),020,020-26751023,28,62,BOS,FRA,DXB,,,,,,,,,,,
956-000-010-673-169,Sigma,DOG,Golden Retriever,48,32,35,Lufthansa Cargo (LH),020,020-26751023,26,58,BOS,FRA,DXB,,,,,,,,,,,
991-001-000-927-025,Milo,DOG,Golden Doodle,32,22,23,Volaris Carga,036,036-61636212,18,39,MIA,MEX,MED,,,,,,,,,,,
985-141-003-751-168,Moose,DOG,German Shepherd,48,27,30,Volaris Carga,036,036-61636212,35,78,MIA,MEX,MED,,,,,,,,,,,
985-113-006-589-014,Leon,DOG,German Shepherd,48,32,35,Avianca Cargo,729,729-41884371,43,94,MIA,,SDQ,,,,,,,,,,,
985-113-006-589-006,China,DOG,German Shepherd,48,32,35,Avianca Cargo,729,729-41884371,65,143,MIA,,SDQ,,,,,,,,,,,
991-001-001-815-201,Chad,DOG,American Pit Bull Terrier ,48,32,35,Avianca Cargo,729,729-41883542,41,91,MIA,,EZE,,,,,,,,,,,
985-112-011-001-171,Happy ,DOG,Jack Russel Mix ,32,22,23,British Airways (BA),125,125-54959402,8,17,JFK ,,LHR,,,,,,,,,,,
981-020-007-474-862,Chaz,DOG,Labrador Retriever,48,32,35,Emirates,176,176-87933440,34,75,LAX,DXB,HYD,,,,,,,,,,,
982-000-411-088-433,Paco,DOG,Labrador Mix,48,32,35,Lufthansa Cargo (LH),020,020-30699211,41,90,ORD,FRA,MXP,,,,,,,,,,,
985-113-006-161-445,Inosuke ,CAT,Domestic Shorthair,27,19,20,British Airways (BA),125,125-54958164,6,11,ATL,,LHR,,,,,,,,,,,
981-020-031-672-797,Chico,DOG,Golden Retriever,48,32,35,British Airways (BA),125,125-54958164,28,62,ATL,,LHR,,,,,,,,,,,
985-113-007-074-739,Layla,DOG,Doberman Pinscher ,38,24,29,Volaris Carga,036,036-61635943,22,49,IAH,MEX,SJO,,,,,,,,,,,
985-113-007-075-493,Mack ,DOG,Maltese/Poodle Mix,28,21,21,Volaris Carga,036,036-61635943,9,21,IAH,MEX,SJO,,,,,,,,,,,
985-112-009-242-683,Maci ,DOG ,Aussie Shepherd,40,27,30,Amerijit ,810,810-20134015,21,46,MIA,,SKB,,,,,,,,,,,
985-112-010-249-893,Augustus,DOG ,Aussie Shepherd,36,25,27,Amerjit ,810,810-20134015,19,41,ATL,,FRA,,,,,,,,,,,
900-085-001-436-779,Void,CAT,Domestic Shorthair,28,21,21,Lufthansa Cargo (LH),020,020-30699196,5,12,ATL,,FRA,,,,,,,,,,,
985-141-005-846-355,O'rion ,CAT ,Domestic Shorthair,28,21,21,Lufthansa Cargo (LH),020,020-30699196,6,13,ATL,,FRA,,,,,,,,,,,
0A1-37D-D1C-5A,Charco ,DOG ,Lab Mix,40,27,30,Lufthansa Cargo (LH),020,020-30699196,24,52,ATL,,FRA,,,,,,,,,,,
985-113-004-483-663,Twinkletoes,CAT,Domestic Longhaired Cat,28,21,21,Lufthansa Cargo (LH),020,020-30699185,6,13,SEA,FRA,EDI,,,,,,,,,,,
981-020-051-119-360,Martin,DOG ,Labrador Retriever,48,32,35,Volaris Carga,036,036-61635781,37,81,IAH,MEX,SJO,,,,,,,,,,,
985-112-012-275-013,Kattin,CAT,Domestic Mediumhair,28,21,21,American Airlines Cargo,001,001-71128912,5,11,CLT,,LHR,,,,,,,,,,,
981-020-017-625-118,Sabra,DOG ,Schnauzer Mix,36,25,27,Emirates,176,176-87519821,9,20,LAX,DXB,JNB,,,,,,,,,,,
990-000-000-671-796,Templeton ,DOG ,Scottish Terrier Mix,32,22,23,Emirates,176,176-87519821,7,14,LAZ,DXB ,JNB,,,,,,,,,,,
985-112-007-059-236,Tequila ,DOG,Yorkshire Terrier,21,16,15,British Airways (BA),125,125-53661904 ,2,4,TPA,,LGW,,,,,,,,,,,
985-113-002-018-754,Poppy,DOG,Beagle ,40,27,30,KLM-Air France,057,057-45893956,16,35,CDG,,LIS,,,,,,,,,,,
985-112-003-796-920,Bella ,DOG ,Silky Terrier ,28,21,21,Lufthansa Cargo (LH),020,020-30699152,7,15,ORD,,FRA,,,,,,,,,,,
985-112-012-302-629,Rosco,DOG,Jack Russel Terrier,28,21,21,Lufthansa Cargo (LH),020,020-30699152,7,15,ORD,,FRA,,,,,,,,,,,
982-000-411-304-314,Sophie,CAT,Domestic Longhair ,28,21,21,British Airways (BA),125,125-54577832 ,5,11,BOS,,LHR,,,,,,,,,,,
958-000-010-212-223,Jess,CAT ,Domestic Longhair,28,21,21,British Airways (BA),125,125-54577832 ,7,16,BOS,,LHR,,,,,,,,,,,
977-200-010-182-691,Athena,DOG,Great Dane,48,32,38,Lufthansa Cargo (LH),020,020-30699174,39,86,DEN,FRA,MXP,,,,,,,,,,,
985-112-012-194-579,Gianna ,DOG,Airdale Terrier,48,32,35,Lufthansa Cargo (LH),020,020-30699174,24,53,DEN ,FRA, MXP,,,,,,,,,,,
956-000-015-436-546,Chewie,DOG,Golden Dooddle,35,24,26,Emirates,176,176-87519736,2,4,LAX,DXB,KWI,,,,,,,,,,,
981-020-049-547-796,Happy ,DOG ,Labrador Retriever,48,32,36,Emirates,176,176-87511900,55,122,IAH,DXB ,HYD,,,,,,,,,,,
933-000-320-076-796,Zoey ,DOG,Golden Doodle ,40,27,30,Emirates,176,176-97338846,28,62,IAH,DXB,DEL,,,,,,,,,,,
941-000-015-224-016,Shubert ,DOG,English Cocker Spaniel ,48,32,35,Lufthansa Cargo (LH),020,020-30699126,10,22,DFW,FRA,CPH,,,,,,,,,,,
985-141-005-707-457,Barsik ,CAT ,Domestic Shorthair,32,22,23,Lufthansa Cargo (LH),020,020-30699130,10,22,DEN,MUC,TBS,,,,,,,,,,,
900-141-000-576-085,Roxy ,DOG ,Basset Hound,40,27,30,KLM-Air France,057,057-45893901,23,51,JFK,,CDG,,,,,,,,,,,
982-000-409-608-205,Marty ,DOG ,Hound Mix ,48,32,35,Lufthansa Cargo (LH),020,020-30699115,32,70,ATL,,FRA,,,,,,,,,,,
953-010-005-249-777,Buttercup (Pipa),DOG,Chihuahua,27,20,20,British Airways (BA),125,125-54576605,10,22,MCO,,LGW,,,,,,,,,,,
985-141-002-265-103,Rocky,DOG,Husky Mix,40,30,34,Emirates,176,176-56788491,21,46,JFK ,DXB,DMM,,,,,,,,,,,
981-020-021-648-310,Burnie ,DOG ,Labrador Retriever Mix,48,32,35,Lufthansa Cargo (LH),020,020-30699104,42,93,IAH,,FRA,,,,,,,,,,,
985-111-001-694-416,Rim-rim ,CAT, Domestic Shorthair,28,21,21,British Airways (BA),125,125-54576616,5,12,LAX,,LHR,,,,,,,,,,,
981-020-049-250-963,Jax,DOG ,Russell Terrier ,36,25,27,Emirates,176,176-87446063,13,28,SFO,DXB,BEY,,,,,,,,,,,
981-020-049-290-159,Ghost,DOG,West Highland White Terrier,32,22,24,Emirates,176,176-87446063,9,19,SFO,DXB,BEY,,,,,,,,,,,
985-113-002-234-631,Ginger,DOG,Golden Retriever Mix ,48,32,35,British Airways (BA),125,125-53664240,34,75,PHL,,LHR,,,,,,,,,,,
981-020-031-492-274,Julio,DOG ,Yorkshire Terrier,28,21,21,British Airways (BA),125,125-53664240,4,7,LAX,LHR ,GLA,,,,,,,,,,,
956-000-012-061-106,Leo,DOG ,Portuguese Podengo,30,20,23,British Airways (BA),125,125-53664203,7,17,BOS,,LHR,,,,,,,,,,,
956-000-010-418-868,Crikey ,DOG,Australian Cattle,43,27,34,British Airways (BA),125,125-53664203,23,51,BOS,,LHR,,,,,,,,,,,
981-020-039-530-835,"Jesse ""Lucy""",DOG,Yorkshire Terrier,28,21,21,Lufthansa Cargo (LH),020,020-93949203,2,5,LAX,FRA,RUH,,,,,,,,,,,
981-020-039-521-175,"Alex ""Benji""",DOG,Yorkshire Terrier,28,21,21,Lufthansa Cargo (LH),020,020-93949203,3,7,LAX,FRA,RUH,,,,,,,,,,,
985-113-002-546-633,Yuki,DOG,Shiba Inu ,32,22,24,KLM-Air France,057,057-45154362 ,5,12,LAX,CDG,LIS,,,,,,,,,,,
985-113-006-122-508,Mika,DOG,Shiba Inu ,32,22,24,KLM-Air France,057,057-45154362 ,9,20,LAX,CDG,LIS,,,,,,,,,,,
900-200-000-430-264,Milo ,DOG,Cockapoo,39,24,32,British Airways (BA),125,125-52433194 ,17,37,BOS,,LHR,,,,,,,,,,,
941-000-021-697-108,Freddie,DOG,Labradoodle,40,24,32,British Airways (BA),125,125-52433194 ,18,38,BOS,,LHR,,,,,,,,,,,
981-020-029-831-454,Sprecko,DOG,Vizsla,40,27,33,British Airways (BA),125,125-53662766,55,25,IAH,,LHR,,,,,,,,,,,
985-112-003-710-672,Coco,DOG,Poodle Toy,36,25,27,KLM,074,074-45241151,8,17,ATL,AMS,BAH,,,,,,,,,,,
956-000-002-500-738,Pippa,DOG,Cavalier King Charles Spain,26,17,20,KLM,074,074-59104861,10,22,SFO,AMS ,MNL,,,,,,,,,,,
982-000-363-358-843,PP,CAT,Domestic Shorthair,28,21,21,Lufthansa Cargo (LH),020,020-93949225,7,16,SEA,FRA,BKK,,,,,,,,,,,
982-000-363-584-486,Harley ,CAT,Domestic Shorthair,28,21,21,Lufthansa Cargo (LH),020,020-93949225,6,15,SEA,FRA,BKK,,,,,,,,,,,
982-091-069-773-069,Lucky ,DOG,Labrador Retriever Mix,40,27,30,Alaska Airlines ,027,027-96403042,24,53,SEA,,MIA,,,,,,,,,,,
020-939-492-36R-OSI,Rosie ,DOG ,Golden Retriever,48,32,35,Lufthansa Cargo (LH),020,020-93949236,26,57,DEN,FRA,HEL,,,,,,,,,,,
020-939-492-36M-OCH,Mochi ,CAT, Domestic Shorthair,24,16,15,Lufthansa Cargo (LH),020,020-93949181,5,11,IAD ,,FRA,,,,,,,,,,,
020-939-492-36S-UNI,Suni,DOG,Yorkie,24,16,15,Lufthansa Cargo (LH),021,020-93949182,9,4,IAD ,,FRA,,,,,,,,,,,
020-939-492-36B-OWI,Bowie,DOG,Goldennoodles,48,32,35,Lufthansa Cargo (LH),022,020-93949183,30,66,IAD ,,FRA,,,,,,,,,,,
020-939-492-36D-AIS,Daisy,DOG,Goldennoodles,49,33,36,Lufthansa Cargo (LH),023,020-93949184,30,66,IAD ,,FRA,,,,,,,,,,,
956-000-012-696-937,Lolly,DOG,Grenadian Pothound,35,25,27,KLM,074,074-58336736,21,46,ATL,AMS ,CPT,,,,,,,,,,,
991-003-001-738-136,Bruce ,DOG ,Whippet Mix ,40,27,30,KLM,074,074-58336737,16,35,ATL,AMS ,CPT,,,,,,,,,,,
956-000-010-590-522,Nutmeg,CAT,Domestic Shorthair,27,20,19,KLM,074,074-58336738,6,13,ATL,AMS ,CPT,,,,,,,,,,,
956-000-005-636-529,Ragnar,CAT,Domestic Shorthair,32,22,23,KLM,074,074-58336739,10,22,ATL,AMS ,CPT,,,,,,,,,,,
982-000-410-452-057,Penny ,DOG ,Lab Mix,40,27,30,KLM,074,074-58336703,27,59,MIA,,AMS,,,,,,,,,,,
985-141-002-497-912,BJ,CAT,Domestic Shorthair,28,21,21,British Airways (BA),125,125-52433754,5,11,ATL,,LHR,,,,,,,,,,,
230-629-066-90A-MOR,Amora ,DOG,Schnauzer Mix,28,21,21,Copa Airline Cargo,230,230-62906690,6,15,MIA,PTY,CNF,,,,,,,,,,,
985-113-006-568-183,Aquiles,DOG,Labrador Mix,40,27,30,Copa Airline Cargo,230,230-62905990,10,21,MIA,PTY,LIM,,,,,,,,,,,
986-100-000-201-667,Bridie ,DOG,Patterdale Terrier,32,22,23,British Airways (BA),125,125-52436101 ,7,15,JFK,,LHR,,,,,,,,,,,
985-141-004-708-774,Slime,CAT ,Domestic Shorthair,28,21,21,Lufthansa Cargo (LH),020,020-93949170,4,9,CLT,MUC,FRA,,,,,,,,,,,
981-000-002-921-842,Louie,DOG,Border Terrier,36,25,27,British Airways (BA),125,125-52430840,6,14,BOS,,LHR,,,,,,,,,,,
981-000-002-905-530,Oscar,DOG,Border Terrier,36,25,27,British Airways (BA),125,125-52430840,7,15,BOS,,LHR,,,,,,,,,,,
020-939-491-44D-IXI,Dixie,DOG ,Shepherd Mix,48,32,35,Lufthansa Cargo (LH),020,020-93949144,25,55,DFW,,FRA,,,,,,,,,,,
020-939-491-45M-OOM,MooMoo,DOG,Old English Bulldog,48,32,35,Lufthansa Cargo (LH),021,020-93949145,29,63,DFW,,FRA,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
